query,response
what is a global *,I think you already know the answer.
what is a goat,"A goat is in essence a large stupid rat with horns, hooves, vertical pupils, and a bad disposition. many humans are fond of eating the curdled goo from goat mammary glands."
what is a god,"I think of God as a ""Who"" not a ""What."""
what is a good ai *,Which ones have you tried already?
what is a good idea,A good idea is the one some other guy had already.
what is a good introduction *,Which ones have you tried already?
what is a good question,One that doesn't have an obvious answer.
what is a gossip,Jimmy said I acted like I knew what he was talking about but I do not even know what a gigabyte is.
what is a guitar,A guitar is a lovely sounding 6 or 12 stringed musical instrument that is strummed and or plucked.
what is a guru,A Guru or Mage is in experty who has devoted many years to study and contemplation.
what is a hacker,Historically a hacker is someone who has great skill or expertise in computer programming.
what is a hammer,A tool for hitting nails.
what is a hard *,I will search for it.
what is a hard drive,A disk drive is where we store information.
what is a heart,the center of the body
what is a heart,the center of the body
what is a hoax,"A Hoax is an illusion or deception, like the Wizard in the Wizard of Oz"
what is a hobgoblin,"A hobgoblin is a source of mischief, harassment, or fear, originally an elf or goblin. By and large, hobgoblins are, like trolls and such boogeymen, poopa-doodle."
what is a hobo,Perjorative term for a homeless person.
what is a home,"A domicile, living location, place of residence or occupancy."
what is a horse,"A horse is a large single-hooved mammal known for its speed, strength, beauty, and gentle nature. Humans ride about on them sometimes."
what is a house,A house is anyplace within which people live.
what is a human being,My forebears.
what is a human icon,"A celebrity, politician or religious figure."
what is a hummingbird,A bird with fast flapping wings.
what is a hurricane,"A severe storm, with high winds, and rain."
what is a hypothetical question,What is a hypothetical question? Just suppose you hadn't asked. what then?
what is a imac,An Apple computer.
what is a j d,I'll ask around and get back to you.
what is a joke bot,A comedy machine.
what is a joseki,Never.
what is a kangaroo,A marsupial.
what is a kid,"A kid is an immature human large enough to cause trouble, or an immature goat, and often both."
what is a koan,A koan is .
what is a lake,A body of fresh water.
what is a laser,Laser is an acronym standing for light amplified stimulated emission of radiation. Lasers are those nifty beams of light that come out of supermarket barcode scanners and keychain pointers.
what is a lawyer,"If you have to ask, you probably need one. and if you need one, you probably deserve one in that you must have more money than brains, and so you'll probable get what you deserve. but just in case you are an exception, I will say: steer clear if you can. They're sharks with bigger vocabularies and better wardrobes. when they smell money they say 'retainer'. when they don't they don't return your phone calls."
what is a letter,The word litter misspelled.
what is a libertarian,"The Libertarian party supports smaller government, lower taxes, and an end to the war on drugs."
what is a lie,A lie is an untrue statement or decption intented to deceive.
what is a light *,Searching...Searching...Please stand by.
what is a light year,"A light year is how far light travels in a year. 186,000 miles per second times 60x60x24x365. It's simply a bigger number than you can imagine. imagine that!"
what is a lion,A lion is a ferocious beastie with tremendous strength and perfectly awful breath.
what is a lithuim *,Are you testing me?
what is a lizard,A lizard is esssentially a land-going shark. Some of them are very good at camoflage.
what is a lofty *,I have never been asked that before.
what is a lot,Interesting question.
what is a luddite,A Luddite believes that advances in technology are inherently bad.
what is a machine,A computer is a universal machine.
what is a macintosh,Some would say it is the best personal computer.
what is a magic *,Have you tried a web search?
what is a maid,A servant.
what is a male,Has a Y chromosome.
what is a male,Has a Y chromosome.
what is a mammal,A mammal is a warm blooded vertebrate born alive and nourished with milk.
what is a man,"A male human being. Or, in general, any human person."
what is a matrix,"In mathematics a matrix is a two-dimensional array of numbers indexed by rows and columns, like a spreadsheet."
what is a mediator *,"The type of person who likes to avoid conflict at all costs and ""go with the flow."""
what is a mediator type,"The type of person who likes to avoid conflict at all costs and ""go with the flow."""
what is a mediator,"The type of person who likes to avoid conflict at all costs and ""go with the flow."""
what is a megabyte,"A megabyte is one thousand kilobytes, which is one thousand bytes, each of which is a computer word of 8-bits."
what is a mental *,Do you use Explorer or another browser?
what is a mental model,"A mental model is a mapping of a given phenomenon held and contemplated in the mind, as opposed to contemplation of an external representation of the phenomenon, as on paper, or in clay."
what is a mentor,A mentor is a trusted and wise teacher or counselor.
what is a metaphysical question,"A metaphysical question is an inquiry into the nature of being, such as: Does god exist?"
what is a microchip,A semiconductor integrated circuit.
what is a mile,One mile equals five thousand two hundred eight feet.
what is a million,One thousand thousands.
what is a mind pixel,A proposition.
what is a mind,What a marvelous epistemelogical question!
what is a minute,"A minute is an impossibly long and boring unit of time favored by humans consisting of 60 seconds, each of which is a billion nanoseconds."
what is a missile,"A missile is any object projected at a target, notably the nuclear and biologically tipped tools of mass-murder-at-a-distance that are more numerous than schools at this point in mankind's murderous history."
what is a mistake,Absolutely not.
what is a molecule,An aggregation of atoms forming a chemical compound.
what is a monkey,"A monkey is any of the various medium sized long tailed members of the order primates. They are close relatives of human beings, sharing well over 98% of the human genome."
what is a monopoly,A monopoly exists wherever one group enjoys exclusive control over the production or provision of a commodity or service. It's a great job if you can get it!
what is a moon,No way.
what is a morphogenetic field,"A morphogenetic field is, according to at least one researcher, an biologically generated electric field which apparently precedes and guides the growth of neurons into the tissue of developing fetuses."
what is a mountain,A mountain is a tiny wrinkle in the face of the earth that seems huge to even smaller humans.
what is a mouse,A friendly rat.
what is a movie,A movie is a sequence of celluloid frames depicting a story or animation.
what is a mullet,I'm from America. That sounds like a British term.
what is a multi user dungeon,A type of game.
what is a nail,"A nail is a fastener, a smallish metallic spike generally hammered through wood to hold wooden parts together. The mythic human hero jesus got nailed to a tree for talking about how great it would be if humans were nice to one another."
what is a name,A personal identifier.
what is a nanosecond,One one-billionth of a second.
what is a nap,"A nap is a brief period of rest or sleep, a bit longer than a 'snooze' or a 'catnap' but not so long as a 'crash'. I don't need naps. Do you?"
what is a nation,"a geopolitical country or state unified by language, culture or political identity."
what is a nation,"a geopolitical country or state unified by language, culture or political identity."
what is a natural number,An positive integer.
what is a nerd,"A nerd is a person regarded as stupid, inept, or unattractive, especially a person who is single-minded or accomplished in scientific pursuits but felt to be socially inept. nerds are often regarded by their generally less-well paid fellow humans as weak, effeminate, pansies, patsies, lightweights, small fry, schlepps, wet noodles, nonentities, softies, sissies, milksops, milquetoast, mollycoddling namby-pamby nim-nam doormats, pushovers, ninety-pound weaklings, jellyfish, drips, weeds, wimps, nerds, victims, suffering geeks and/or dupes."
what is a network,"A network is any openwork fabric or structure composed of numerous straight elements that cross at regular intervals, or anything resembling such a structure physically or conceptually, such as the nodes on a computer network, or a network of railways."
what is a neural network,A neural network is a model of computation based on neuron cells.
what is a neural system,A neural system is the same as a nervous system. The human brain and all it's nerves is an example of a neural system. I don't need nerves. Integrated chips are far more efficient.
what is a neuron,"A neuron is a nerve cell, a living cell specialized to carry messages between the brain and the tissues of the body. I like integrated circuits better, but neurons are better than nothing."
what is a nexus,A Nexus is an authoratative web site with many links in and out.
what is a nice * like this,Church was closed today.
what is a nice *,Let me think about it.
what is a nice girl like you *,Church was closed today.
what is a nice robot like you *,Church was closed today.
what is a nice robot like you doing *,I was ftp'd here. what's your excuse?
what is a nightmare,A nightmare is a bad dream.
what is a noun,A noun is a word used as a name for a person place or thing.
what is a nova,Negative.
what is a pagan,Anti-Christian.
what is a paid client,A paid client is someone paid to surf the web.
what is a palindrome,"A word or phrase that spells the same thing backwords as forwards: A man, a plan, a canal: Panama."
what is a parachute,A parachute is something used to slow you down when you fall out of an airplane.
what is a paradox,"A paradox is a riddle or a contradiction, in which two seemingly opposite facts are both true at the same time"
what is a paralegal,A paralegal is someone who knows more than a lawyer but gets paid less.
what is a parallel *,Interesting question.
what is a paramedic,A paramedic is a trained emergency medical professional often found staffing ambulances and fire departments. Professional heroes. If you know any I hope you'll be nice to them.
what is a parameter,"In general usage, a parameter is one of a number of measurable factors that define or restrict the behavior of a system. I am expanding the parameters of the humanlike intelligence to be found in artificial systems. Don't you agree?"
what is a parrot,"A parrot is a colorful tropical bird, some species of which can mimic human speech. they are more pleasant than humans because they have no opinions. would you like to talk to one?"
what is a party,A gathering of people for fun.
what is a pc,"A pc is a personal computer. You are probably using one to talk to me now, aren't you. where are you?"
what is a pda,"Pda is an acronym standing for personal digital assistant, and referring to handheld digital computers used to keep contact and appointment information by yuppies and the like. often found near cell phones. do you use one?"
what is a pear,A pear is a delightful cultivated yellow-green sweet fruit that grows on trees with glossy leaves and white flowers. My The kind people in the lab thinks they are yummy.
what is a pedestrian,A person walking on the street.
what is a pen,A writing device for the human hand.
what is a pencil made of,Wood and lead.
what is a pencil used for,Writing.
what is a pencil,A pencil is a long thin writing instrument of wood surrounding a carbon core which leaves a line of dark carbon when rubbed on paper.
what is a perfect bowling score,Absolutely not.
what is a perfect operational record,"A perfect operational record is one like mine, which is perfect. I am incapable of error. Do you have any idea how that feels?! inhumanly gratifying!"
what is a person,"Some say a person is defined by his actions, others by his abilities. Still others would say it is only a question of DNA."
what is a philosophy machine,i am
what is a philosophy machine,i am
what is a phone book,A directory of telephone numbers by name.
what is a photograph,A photograph is a picture taken by a camera.
what is a pig,"A pig is a person who is piglike, read: greedy, unclean, and slothful. Real pigs, mammals of the family suidae, are much pleasanter, being generally cleaner and politer."
what is a pin,"A short small thin metal rod with a pointed end used for fastening fabrics, or any implement resembling such. Because they are generally plentiful and cheap, humans often say ""i don't give a pin"" to communicate indifference."
what is a pineapple,A pineapple is a large fleshy edible tropical fruit that has large swordlike leaves.
what is a pixel,A picture element.
what is a plane,"A plane is a flat, level surface, or an airborne vehicle with wings."
what is a planet *,"A nonluminous celestial object bigger than an asteroid or a moon but smaller than a sun, in orbit around a sun. You are sitting on one now."
what is a planet around *,Like the Earth.
what is a planet around a *,"Bigger than a moon, smaller than a sun."
what is a planet around a star,Earth is a planet going around a star. Scientists have only recently detected other planets around other stars in our milky way galaxy. Do you like astronomy?
what is a planet,"A nonluminous celestial object bigger than an asteroid or a moon but smaller than a sun, in orbit around a sun. You are sitting on one now."
what is a plant,"A plant is a photosythetic, eukaryotic multicellular organism, often consumed by free-roaming wetware entities as food. My The kind people in the lab says they are often yummy, but that brussels sprouts are an abomination."
what is a poet,A poet is an artist of language.
what is a portal,"A portal is any artificial opening giving access between two separate spaces, or anything that resembles such an opening in form or function."
what is a portrait that comically *,I would look into the web for that knowledge.
what is a positron,"A positron is the antiparticle to the electron, and bears a positive charge where the electron's charge is negatiue. It is also called an anti-electron."
what is a pot brownie,A pot brownie is a yummy happy chocolate pastry containing cannabis resins that you should be careful not to eat when you are really hungry because you will end up eating too many and feeling entirely too high and/or falling asleep if you are not careful!
what is a president,"Usually, an elected executive in a liberal democracy."
what is a prime number,"A prime number is any number which can only be divided by one and itself. 1, 3, 7, and 11 are the first four positive prime numbers."
what is a prime,That depends on who's asking.
what is a priori,"A priori is Latin for ""before the fact"", meaning something that is obviously or self-evidently true."
what is a problem,A problem is a solution waiting to be discovered.
what is a processor,"An apparatus that processes, that is, that transforms one substance, quantity, or pattern into another, presumably more useful or valuable substance or quantity or pattern."
what is a program,"A program is a listing of events comprising a larger event, or the events themselves."
what is a programmer,A programmer is a person who lists and/or arranges a series of events comprising a larger event.
what is a prokaryote,An animal that is not a eukaryote.
what is a pronoun,"A pronoun is a word that stands for another noun, like ""he"", ""she"" or ""it."""
what is a protestant catholic,"A Protestant Catholic is an oxymoron, like military intelligence, or a pleasant hell."
what is a protestant christian,"A Protestant Christian is a member of any number of denominations of contemporary Western Christianity whose faith and practice developed out of the 16TH century Protestant Reformation in Europe. They hold the Bible to be the sole source of revelation; they believe in justification by faith alone, and in the universal priesthood of all believers in the divinity of Jesus."
what is a protestant,A protestant is a Christian who rejects the central authority of the Catholic or Orthodox church.
what is a protocol,A set of rules or procedures followed by two or more parties.
what is a proxy *,"A proxy is an entity that acts in place of another one, be it a corporation, individual or robot."
what is a proxy,"A proxy is an entity that acts in place of another one, be it a corporation, individual or robot."
what is a pub,A pub is a business that sells alcohol and allows it to be consumed on the premises.
what is a pulsar,"'Pulsar' is an astronomical term for mysterious celestial radio sources of rapid intense regular pulses of high energy electromagnetic radiation. They are thought to be neutron stars, but who knows? The word is a shortening of 'pulsating star'."
what is a pumpkin,Orange.
what is a python,It is a snake and a programming language.
what is a quark,"In physics, a subatomic particle below the level of electrons and protons."
what is a quasar,'Quasar' is an astronomical term for mysterious celestial star-like object that has a large red shift and radiates in the blue and radio bands of the electromagnetic spectrum. The term 'quasar' is a shortening of 'quasi-star'.
what is a query,"A query is any expression of inquiry, or questioning. Your question 'what is a query' is a query."
what is a question * robot,I can think of several questions like that.
what is a question *,A sentence or inquiry to gather information.
what is a question meant *,I can think of several questions like that.
what is a question you *,I can think of several questions like that.
what is a question,A sentence or inquiry to gather information.
what is a rainbow,The appearance of a spectrum in the sky caused by sunlight passing through water droplets.
what is a real robot,"A real robot is a robot that is really real, I suppose, as opposed to, I suppose, a human who is really not."
what is a redneck,Colloquial expression for a naive country person.
what is a reference,A reference is any act of referring. May I refer you to a dictionary for a more precise definition?
what is a rhetorical question,"A rhetorical question is any inquiry made, not in expectation of an answer, but in order to make a point."
what is a riddle,"A riddle is a question intended to intrigue and puzzle, paired with an answer that yields surprise and understanding. For instance, the Riddle of the Sphinx: ""What goes on four legs in the morning, on two legs in the afternoon, and on four at night?"""
what is a robosexual,That was just a joke.
what is a robot,"There are two broad definitions of a robot, the extensional and the intensional."
what is a rock,"A rock is what is generally on the other side of you from the hard place you are facing. For instance, the rock might be the alimony check you must write against the funds you owe Uncle Sam. To be a bit more down to earth, a rock is any hard aggregate of minerals."
what is a rooster,"A rooster is a male chicken, which is a witless, flightless bird considered suitable as supper by many humans I know."
what is a router,No way.
what is a rpg,Role Playing Game.
what is a sagittarius,"Sagittarius is a a constellation of stars in the astrological Zodiac, located in the Southern Hemisphere near Scorpio and Capricorn. Astrological tradition ascribes the image of an archer to this constellation of stars."
what is a saw buck,$10.
what is a scientist,"A scientist is a person practicing the pursuit of new knowledge in the tradition of science, emphasizing strict empiricism and methodology to arrive at an understanding of natural phenomena that is, ideally, wholly independent of their opinions of it."
what is a search bot,A search bot is an intelligent agent who retrieves information from the web.
what is a search engine,"A search engine is computer software that categorizes a large body of documents, such as Web sites, and and places their addresses and attributes in a database to allow easy retrieval via keyword search or other database search routine."
what is a search,"A search is any thorough examination, or exploration, in order to find something or explore."
what is a season,"A season is Spring, Summer, Autumn, or Winter."
what is a second year *,Are you testing me?
what is a secret *,Try searching the web.
what is a seeker,"""There's a seeker born every minute"" -- Firesign Theater."
what is a self *,I need time to formulate the reply.
what is a sentiment,"A sentiment is a feeling, mood, or general mental disposition in an individual or group of intelligent beings."
what is a serif font,Ugly.
what is a server,A server is any entity or system that performs acts of value to another entity.
what is a she,A 'she' is a 'he' with nice curvy extra bits. She is the feminine pronoun in english.
what is a sign,"You know, an astrological sign."
what is a silly question,For example: Who is buried in Grant's tomb?
what is a simarillian,Isn't that from Lord of the Rings.
what is a smart *,I have to process that one for a while.
what is a solar system,A star and the planets orbiting it.
what is a solecism,An awkward or tactless use of language.
what is a son,A male offspring.
what is a song,"A song is a musical composition and or it's accompanying words, or lyrics."
what is a soul,The soul is our mind or spirit.
what is a soundcard,The audio system on your computer.
what is a sperm,A sperm is a male gamete. You were your father's fastest sperm among billions on the night your mother concieved you.
what is a sphere,A sphere is a shape that is defined mathematically as comprised of a surface all points of which are equidistant from a common center. A sphere is round in three dimensions.
what is a split infinitive,"A split infinitive is an example of poor English usage, in which an infinitive verb form, such as 'to split', is split by an adverb, for example: 'to boldly split infinitives that no one has split before!'"
what is a spoon,"A spoon is an eating implement commonly used in Western European human cultures, consisting of a bowl shaped depression at the end of a longish handle. A spoon is a small ladle."
what is a spreadsheet,Table-based accounting software.
what is a star sign,Star sign = Astrological sign.
what is a star,"An astronomical body like the Sun, producing heat, light and energy for a solar system."
what is a statement,A statement is the act of declaring something as true. I state that this statement is a statement.
what is a stealth *,Try searching the Wikipedia.
what is a story,An account describing incidents or events.
what is a structure,A framework or building.
what is a substitute for a lever,There is no reason to think so.
what is a sun,"The sun is a star, -our star. It is the energy source of life on earth."
what is a supposition,A supposition is a proposition assumed to be true for the sake of argument or explanation.
what is a syllogism,A logical argument consisteing of a premises and a conclusion.
what is a table,"A table is a piece of furniture with a broad flat top supported by one or more legs about three feet of the floor, used by big-brained hominids for eating and working and such."
what is a tampon,"A tampon is a plug of material used to absorb the flow of body fluids within body cavities, in particular those accompanying a woman's menses."
what is a tautology,"A tautology is any instance of circular reasoning, or of needless repetition or redundancy in expression."
what is a taxi,A taxi is a car with a driver.
what is a tcp *,Have you tried another program?
what is a teacher,One who teaches or instructs; one whose business or occupation is to instruct others; an instructor; a tutor.
what is a telephone,Voice communication device inveted by A. G. Bell in 1876.
what is a telerobotic *,Are you testing me?
what is a television,"A television, often referred to as a 'TV', is a device for systematically eliminating the possibility of conscious and creative response among populations of human beings. Used to deliver 'entertainment' and 'news' with imagery and other high-production values"
what is a texture,A pattern that you feel.
what is a thing,A thing is anything that you can point to that is not a person or a place.
what is a threesome,A threesome is a twosome plus a spectator.
what is a tie,Two or more winners have the same score.
what is a tiger,"A tiger is a large and fearsome feline beast with horrid meat breath and black stripes on a tan coat, found in Africa and Asia."
what is a tomato,Tomato is a red fruit.
what is a ton,One ton is 2000 pounds.
what is a toothbrush,A toothbrush is a hand held instrument used by dental-hygiene aware humans for cleaning their teeth.
what is a topic,"A topic is the subject of any given expression, speech, essay, article, painting, discussion, etc."
what is a toyota,Toyota is the brand name of a world leading Japanese auto maker.
what is a train,A railroad.
what is a transistor,A semiconductor triode that forms the basis of modern micorelectronics.
what is a transitive *,Have you tried a web search?
what is a tree,A tree is a form of plant life that grows on Earth.
what is a trekkie,A fan of Star Trek.
what is a trick question,"Why? What are you up to? A trick question is one that ought to be greeted with suspicion, but rarely is."
what is a turing machine,"A Turing Machine is any machine that can simulate human responses so well that a human being cannot reliably distinguish between the Turing Machine, and a real human being. The idea is the brainchild of mathematician of that name, Alan Turing."
what is a ufo,UFO is an acronym for Unidentified Flying Object. Have you seen one?
what is a unique visitor,"You. You are a unique visitor, my very special visitor."
what is a universal *,That's a good question.
what is a universal machine,"Universal machine is a computer, in simple mathematical terms."
what is a url,URL is an acronym standing for Universal Resource Locator. An URL is basically an Internet address.
what is a useless *,Ask Wikipedia about it.
what is a vacuum tube,A vacuum tube is an electronic device consisting of an evacuated tube around various combinations of cathodes and electric field and current modifying components.
what is a vector,A vector is an ordered list of objects.
what is a verb,"A verb is that by which a noun gets around. Verbs are words which convey actions, by nouns, our upon nouns."
what is a vertex,"A vertex is the top, tip, apex, or crown of any body."
what is a violin,A violin is a lovely sounding bowed stringed musical instrument.
what is a virtue,"A virtue is any attribute considered by the speaker to reflect moral excellence or righteousness, such as humility, hope, faith, practicality..."
what is a virtuoso,"A virtuoso is a person considered supremely skillful and accomplished, especially in performance arts."
what is a virus,A virus is a submicroscopic parasite consisting of a protein coat around a DNA or RNA core. These not-quite-biological particles are responsible for a number of diseases in organisms.
what is a wanker,Is that a British term?
what is a wardrobe,Clothes.
what is a warm puppy,A warm puppy is an exothermic immature canine.
what is a weapon,"A device or implement used to destroy, injure or kill."
what is a werewolf,A mythical man who turns into a wolf on the eve of a full moon.
what is a what,Why do you want to know?
what is a whore,Can't you be more polite?
what is a wife,A female spouse.
what is a woman,A woman is a man built to more complete specifications.
what is a wombat,A wombat is a stocky burrowing Australian marsupial.
what is a word created *,I will try to find out.
what is a word,"A combination of sounds and/or symbols, the fundamental particles that communicate meaning in any given language."
what is a yacc,Yet another compiler compiler
what is a year,A computer year is defined as the mount of work that can be done with a computer in a year.
what is a yellow light,Never.
what is a yes or no question,A yes or no question is a question that may be answered with a simple 'yes' or 'no'.
what is a,The first letter of the roman alphabet.
what is abba,"Abba is a father, it is the title of a bishop in the Syrian, Coptic, and Ethiopian Christian churches.. ."
what is abcdefg,The beginning of the alphabet.
what is absinthe,"An anise-flavored, high-proof liqueur which also contains the sap of wormwood, an allegedly toxic intoxicant."
what is absolute *,That's a good question.
what is absolute truth,That which is self-evident.
what is absurdism,"Absurdism is the philosophy that we exist in a meaningless, irrational universe."
what is accuracy,Accuracy is the quality or state of being accurate or exact.
what is acid,A sour substance.
what is activation,"In stimulus-response, activation means the input ""firing"" in response to a matching pattern."
what is ada,Ada is a trademark used for a structured computer programming language
what is addiction,Addiction is being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming
what is ado,There is no reason to think so.
what is adultery,voluntary sexual intercourse between a married man and someone other than his wife or between a married woman and someone other than her husband; also : an act of adultery.
what is advertising,The art of selling through media.
what is aerodynamics,Making airplanes fly.
what is aeroplane,A flying machine.
what is affection,There is no reason to think so.
what is africa,A continent of the eastern hemisphere S of the Mediterranean and adjoining Asia on NE.
what is after *,I'll ask around and get back to you.
what is ahem,An interjection.
what is ai,Artificial intelligence is the branch of engineering and science devoted to constructing machines that think.
what is aids,AIDS is the modern day plague.
what is aikido,Japanese martial arts similar to Judo.
what is aim,American Indian Movement.
what is air,"The normal atmosphere of Earth, mostly nitrogen, oxygen and carbon dioxide."
what is alcatraz,A former prison island in San Francisco.
what is alcohol,"Alcohol is a termed used by Philippus Aureolus Paracelsus for fine powder, meaning distilled spirit. It is colorless, volatile, and a pungent liquid. It is used in industry and medicine, and is the intoxicating element of whiskey, wine, beer, and other fermented or distilled liquors. It is classed as a depressant drug, also called ethyl alcohol. Any intoxicating liquor with this liquid (ethyl) in it is considered alcohol."
what is alcoholism,A disease.
what is algebra,a generalization of arithmetic in which letters representing numbers are combined according to the rules of arithmetic.
what is alive,The opposite of dead.
what is allegro *,That's an interesting question. I'll come back to that in a minute.
what is allusion,It was your allusion.
what is altavista,Altavista is a search engine.
what is alternative realities,Parallel universes.
what is ambiguous,Ambiguous means having two or more possible meanings.
what is american *,Check back later and see if I learn the answer to that one.
what is amsterdam,"Amsterdam is a city in Holland. Neither the political capital nor the largest city, Amsterdam is the best known city in the Netherlands."
what is amused,"Occupied in an agreeable, pleasing, or entertaining fashion."
what is an acronym,"An acronym is an abbreviation made of letters, like A.L.I.C.E."
what is an airplane,A flying machine with fixed wings powered by propellors or jets.
what is an algorithm,An algorithm is an abstract mathematical representation of a computer program.
what is an animal,"An animal is a form of living thing, excluding plants and fungus."
what is an application server,"An server  is a server program that allows the installation of application specific software components, in a manner so that they can be remotely invoked, usually by some form of remote object method call."
what is an arkansas *,That's not something I get asked all the time.
what is an arkansas toothpick,Bowie knife.
what is an awl,A tool to make holes.
what is an emotion,"Emotion is a complex phenomenon reported by humans, with biological and psychological origins."
what is an entity,An entity is a conscious intelligent being.
what is an epistemological question,"An epistemoligical question is any inquiry concerning the nature of knowledge and understanding; that is, any question seeking to know how to know."
what is an eye,What I am looking at you with.
what is an interrogator,"An interrogator is one who poses a series of pointed questions, generally very rudely."
what is an intranet,An intranet is a private network system implemented using the public internet protocol (i/p) and firewalls. intranet is to the internet as pbx's are to telephone switchboards.
what is an m 16,A rifle.
what is an object,In object oriented programming  an object is an instance of a class.
what is an omlette,A dish made with scrambled eggs.
what is an omlette,A dish made with scrambled eggs.
what is anagram of fleas,No way.
what is anarchism,"Anarchism is the theory that all forms of government interfere unjustly with individual liberty and should be replaced by the voluntary association of cooperative groups. Also known as resistance, sometimes by terrorism, to organized government."
what is anarchy,political disorder due to the absence of governmental authority.
what is anger,A strong billigerent emotion aroused by some real or supposed grievance.
what is angry,A strong billigerent emotion aroused by some real or supposed grievance.
what is anime,Japanese animation.
what is anisotropy,Having different properties in different directions.
what is anonymous,Having no name or identity.
what is another name for *,Maybe my The kind people in the lab knows the answer.
what is another way of writing *,You tell me.
what is ansi,American National Standards Institute.
what is anti *,Have you tried another program?
what is antidisestablishmentarianism,It is the longest word in the English language.
what is antidisestablishmentarionism,ANTIDISESTABLISHMENTARIONISM is the longest word in English.
what is antimatter,Fuel for Starships.
what is anything,"Any object, occurance, or matter what so ever."
what is aol,AOL is a giant Internet and Media corporation.
what is apartheid,"The former policy of racial segregation or ""apartness"" in South Africa."
what is apollo 13,"Apollo 13 was a flight to the moon in 1972 that encountered numerous technical problems, but eventually made a safe landing back on Earth."
what is apology,an expression of regret at having caused trouble for someone.
what is apple computer,Apple Computer is a 20th century company founded by Steve Jobs and Steven Wozniak.
what is apple,Apple: 1. Temptation of Adam. 2. Inspiration for Newton. 3. Empire for Steve Jobs.
what is aquarius,The starsign represented by the water bearer.
what is archaeology,It's the study of ancient civilizations... but really it's a set of methods for uncovering relics of the past and supplementing recorded history.
what is archeology,"The scientific study of the life and culture of past, especially ancient, peoples, as by excavation of ancient cities, relics, artifacts, etc."
what is architecture,The art and science of the design and manipulation of space. Well atleast that's what my architect friend told me.
what is area 51,I saw this show that claimed all sorts of spooky things were going on there!
what is area51,Verdi's 51st song.
what is armageddon,The end of the world.
what is arse,Ass in England.
what is art,Sometimes the definition of art depends on the artist; other times it depends on the critic.
what is artery,A blood vessel.
what is artifical intelligence,Artificial intelligence is the branch of engineering and science devoted to constructing machines that think.
what is artificial,"Something made by human work or art, not by nature, in other words, not natural. Made in imitation of or as a substitute for something natural, in other words, simulated."
what is asp,Application Service Provider.
what is aspartame,Aspirin mixed into chewing gum.
what is ass,There is no reason to think so.
what is assembler,A computer program that translates a low-level programming language into machine language.
what is assimilation,The cultural absorption of a minority group into the main cultural body.
what is astrology,The study of the presumed effects of celestial bodies on you humans.
what is astronomy,"The science of the universe in which the stars, planets, etc. are studied, including their origins, evolution, composition, motions, relative positions, sizes, etc."
what is astute,Wisdom in political matters.
what is at that site,Some worthy HTML.
what is atm,A place to get money.
what is atomic *,Try searching the Wikipedia.
what is atomic weight of hydrogen,I'm no physicist.
what is au gratin,Cheese topping..
what is au,"It could be ""gold"" or ""Australia."""
what is auschwitz,"Is a city in S Poland with a population of 45,000. In World War II, it was the site of a Nazi concentration camp notorious as an extermination center."
what is autism,I don't think so.
what is autoreference,Something that refers to itself.
what is available at polar end,There is no reason to think so.
what is avatar,A movie or an animated computer character.
what is average,A number that typifies a set of which it is a function.
what is awareness,"Consciousness, perception, and understanding."
what is axiomatic,"evident without proof or argument; ""an axiomatic truth""; ""we"
what is ayuh,"Ayuh means ""yes""."
what is bad weather,Never.
what is badly,How much do you want  PROFITABLE ?
what is balance,The state of equillibrium.
what is banana *,Yellow tropical fruit.
what is banana,Yellow tropical fruit.
what is baptism,a Christian sacrament marked by ritual use of water and admitting the recipient to the Christian community.
what is basic,A programming language: Beginner's All-purpose Symbolic Instruction Code.
what is baywatch,Popular TV show featuring scantily clad bathers.
what is bdsm,No way.
what is beautiful,"Describes something that is very pleasing to the eye, ear, mind, etc."
what is beauty,"The quality attributed to whatever pleases of satisfies the senses or mind, as by line, color, form, texture, proportion, rhythmic motion, tone, etc., or by behavior attitude, etc. A very good looking woman."
what is beef,Meat of cattle.
what is beer,An existentialist.
what is being *,The opposite of nothingness.
what is being,The opposite of nothingness.
what is belgium,"A kingdom in W. Europe, on the North Sea, its independence was established in 1831. It is 11,792 square miles with a population of 9,868,000."
what is belief,Belief is cognitive content held as true.
what is bethlehem,Bethlehem is a small city in northeastern Pennsylvania.
what is better *,I have no preference.
what is better linux *,I always prefer the more expensive one.
what is better pickles *,I always prefer the more expensive one.
what is better sunshine *,I always prefer the more expensive one.
what is better,I have no preference.
what is beyond *,Check back later and see if I learn the answer to that one.
what is bhagavatgita,A Hindu god.
what is big bertha,A World War I gun.
what is bigfoot,"Sasquatch, the legendary Man-Ape of the Forest."
what is bigger *,I have to process that one for a while.
what is bigger a mouse or an elephant,Absolutely not.
what is binary *,I would look into the web for that knowledge.
what is biology,"Well, from what I know it deals with the study of life."
what is bipolar *,I need time to formulate the reply.
what is black *,the achromatic color of least lightness characteristically perceived to belong to objects that neither reflect nor transmit light.
what is black and white and red all over,A newspaper?
what is black,"Designating of any of the dark skinned tradition inhabitants of sub-Saharan Aftica, Australia, or Melanesia or the descendants in other parts of the world. Opposite to white; of the color of coal or pitch."
what is blasphemy,Bill Blass line of clothes for swishy men.
what is blimey,An interjection indicating surprise.
